names,best,min,max
pFS2_pine,0.1673,0.03,1.7
pFS20_pine,0.0457,0.01,0.8
aWS_pine,0.126,0.05,0.18
nWS_pine,2.2679,1.8,2.7
pRx_pine,0.3303,0.2,0.8
pRn_pine,0.1619,0.05,0.3
gammaF1_pine,0.0004,0,0.0337
gammaR_pine,0.0009,0,0.2
Tmin_pine,0.1138,-5,5
Topt_pine,22.2742,15,25
Tmax_pine,37.1471,30,45
wSx1000_pine,202.3125,136,206
thinPower_pine,1.6025,1.33,2
k,0.3247,0.3,0.65
MaxIntcptn,0.3669,0.27,0.4
alphaCx,0.0257,0.025,0.07
MaxCond,0.0178,0.0123,0.0184
CoeffCond,0.0825,0.0607,0.0911
pFS2_spruce,0.8297,0.03,1.7
pFS20_spruce,0.148,0.01,0.8
aWS_spruce,0.133,0.05,0.18
nWS_spruce,2.305,1.8,2.7
pRx_spruce,0.7151,0.2,0.8
pRn_spruce,0.0824,0.05,0.3
gammaF1_spruce,0.0008,0,0.0138
gammaR_spruce,0,0,0.2
Tmin_spruce,2.4727,-5,2.5
Topt_spruce,24.9494,15,25
Tmax_spruce,30.39,30,45
wSx1000_spruce,376.0843,255,390
thinPower_spruce,1.874,1.3,2
k_spruce,0.6378,0.3,0.65
MaxIntcptn_spruce,0.2237,0.22,0.33
alphaCx_spruce,0.027,0.025,0.07
MaxCond_spruce,0.0246,0.0244,0.035
CoeffCond_spruce,0.0896,0.076,0.1
pFS2_contorta,0.1673,0.03,1.7
pFS20_contorta,0.0457,0.01,0.8
aWS_contorta,0.126,0.05,0.18
nWS_contorta,2.2679,1.8,2.7
pRx_contorta,0.3303,0.2,0.8
pRn_contorta,0.1619,0.05,0.3
gammaF1_contorta,0.0004,0,0.0337
gammaR_contorta,0.0009,0,0.2
Tmin_contorta,0.1138,-5,5
Topt_contorta,22.2742,15,25
Tmax_contorta,37.1471,30,45
wSx1000_contorta,202.3125,136,206
thinPower_contorta,1.6025,1.33,2
k_contorta,0.3247,0.3,0.65
MaxIntcptn_contorta,0.3669,0.27,0.4
alphaCx_contorta,0.0257,0.025,0.07
MaxCond_contorta,0.0178,0.0123,0.0184
CoeffCond_contorta,0.0825,0.0607,0.0911
pFS2_birch,1.2002,0.03,1.7
pFS20_birch,0.0266,0.01,0.8
aWS_birch,0.11,0.05,0.18
nWS_birch,2.377,1.8,2.7
pRx_birch,0.371,0.2,0.8
pRn_birch,0.1164,0.05,0.3
gammaR_birch,0.0001,0,0.2
Tmin_birch,0.0008,-2,6
Topt_birch,18.79,15,25
Tmax_birch,38.07,30,45
wSx1000_birch,146.97,116,174
thinPower_birch,2.1376,1.8,2.4
k_birch,0.5884,0.3,0.65
MaxIntcptn_birch,0.1784,0.14,0.21
alphaCx_birch,0.0298,0.025,0.07
MaxCond_birch,0.021,0.016,0.024
CoeffCond_birch,0.0522,0.0421,0.0632
pFS2_decid,0.1269,0.03,1.7
pFS20_decid,0.023,0.01,0.8
aWS_decid,0.1,0.05,0.18
nWS_decid,2.419,1.8,2.7
pRx_decid,0.4547,0.2,0.8
pRn_decid,0.1843,0.05,0.3
gammaR_decid,0.0035,0,0.2
Tmin_decid,0.78,-2,6
Topt_decid,18.71,15,25
Tmax_decid,38.21,30,45
wSx1000_decid,309.47,247,370
thinPower_decid,1.7795,1.4,2.1
k_decid,0.4211,0.3,0.65
MaxIntcptn_decid,0.2336,0.18,0.27
alphaCx_decid,0.04,0.025,0.07
MaxCond_decid,0.022,0.016,0.024
CoeffCond_decid,0.0456,0.0368,0.0552
aN,0.1,0.08,0.12
bN,0.001,8.00E-04,0.0012
aB,0.1,0.08,0.12
bB,0.001,8.00E-04,0.0012
aV,0.1,0.08,0.12
bV,0.001,8.00E-04,0.0012
aD,0.1,0.08,0.12
bD,0.001,8.00E-04,0.0012
aWs,0.1,0.08,0.12
bWs,0.001,8.00E-04,0.0012
aWr,0.1,0.08,0.12
bWr,0.001,8.00E-04,0.0012
aWf,0.1,0.08,0.12
bWf,0.001,8.00E-04,0.0012
beta,7,5.6,8.4
eta,0.36,0.288,0.432
e0,0.29,0.24,0.35
fc,0.48,0.41,0.57
q0,1.1,0.88,1.32
z,0.3,0.24,0.36
biasSoil,0,-10,10
sdSoil,10,8,12
