"","Plot_ID","long","lat","field_capacity","wilting_point","clay_per","sand_per","silt_per","asw_max"
"1",831501106,17.0135467086715,63.9668856940176,539.4505,161.5325,0.094325,0.541925,0.364125,377.918
"2",831501306,16.9942080373304,63.9600966326337,524.8595,163.4105,0.09875,0.54585,0.35515,361.449
"3",831502106,16.705312405397,64.2375781214434,562.3875,164.5385,0.09345,0.501,0.40555,397.849
"4",831502306,16.7270197561805,64.2347470203884,541.3625,167.9965,0.0974,0.50695,0.39515,373.366
"5",831504106,16.8603388820116,64.1033875324806,551.081,164.957,0.091475,0.52155,0.386475,386.124
"6",831504306,16.8449589683567,64.0937087845657,545.467,179.947,0.09575,0.524875,0.379375,365.52
"7",831505106,18.7753032376624,64.2209966019508,547.734,179.34,0.07375,0.55015,0.376725,368.394
"8",831505306,18.7620108422889,64.2061000063916,540.996,163.3175,0.079575,0.548675,0.37175,377.6785
"9",831506106,18.6187661114172,64.3464826060605,554.4665,184.18,0.07005,0.520975,0.408975,370.2865
"10",831506306,18.6144064091287,64.3435893632507,549.8175,164.591,0.072925,0.5299,0.397175,385.2265
"11",831508106,15.7105134813638,64.5199356067233,552.787,178.813,0.093325,0.514725,0.391325,373.974
"12",831508306,15.7144780529486,64.5026328414383,550.6095,164.7315,0.072675,0.54765,0.37925,385.878
"13",831509106,15.6116785804765,64.6520759048632,523.922,158.2685,0.09365,0.50145,0.405025,365.6535
"14",831509306,15.6306922907615,64.6360500119624,522.745,161.7315,0.099125,0.517725,0.383175,361.0135
"15",831511106,16.4400456323883,64.510616871324,541.205,166.242,0.103225,0.48325,0.413475,374.963
"16",831511306,16.4406714595513,64.5054948987309,562.281,184.7455,0.103525,0.48525,0.411025,377.5355
"17",831512106,16.3070753559354,64.6452939707599,543.6285,162.768,0.120175,0.490925,0.3889,380.8605
"18",831512306,16.3127981255838,64.632463261355,537.572,160.492,0.1216,0.47015,0.4087,377.08
"19",831513106,16.2154740985405,64.7874404330845,533.0535,165.034,0.0768,0.5197,0.403375,368.0195
"20",831514106,17.8021661306663,64.5060664274794,549.987,165.9955,0.094375,0.5171,0.388275,383.9915
"21",831514306,17.8119182062633,64.4967475543772,573.823,167.05,0.085775,0.530925,0.382925,406.773
"22",831516106,17.568588716113,64.7703310694854,551.296,165.4,0.07705,0.53485,0.388175,385.896
"23",831516306,17.571142784492,64.7598085149641,534.955,165.2065,0.07365,0.5426,0.38375,369.7485
"24",831517106,18.5226932701455,64.4855999484081,546.1195,163.5,0.084425,0.549075,0.36645,382.6195
"25",831517306,18.5439420791098,64.4786924990629,532.64,162.8405,0.07475,0.54875,0.376275,369.7995
"26",831518106,18.3882387073306,64.6278024419703,554.075,164.659,0.078,0.5367,0.3854,389.416
"27",831518306,18.4066434289067,64.6191142531939,542.9415,175.5315,0.069975,0.552975,0.377475,367.41
"28",831519106,18.2883343543965,64.763991239054,553.7195,165.758,0.0945,0.511075,0.394525,387.9615
"29",831519306,18.2948788029201,64.7577826893442,533.614,165.591,0.099575,0.512425,0.3877,368.023
"30",831520106,15.2958824772852,64.9248048742257,521.6195,161.8665,0.089575,0.49555,0.414875,359.753
"31",831521306,15.2071654166282,65.0416554598889,526.2865,160.519,0.10685,0.492925,0.400075,365.7675
"32",831524106,16.0260279308903,64.9216840483106,540.5875,163.872,0.09605,0.508925,0.3952,376.7155
"33",831524306,16.0511394106084,64.9084610730157,531.3565,164.519,0.09095,0.50075,0.40795,366.8375
"34",831525106,15.875384596529,65.0506516112407,525.0825,163.9425,0.089975,0.506175,0.403875,361.14
"35",831525306,15.8852705847036,65.0476232411953,511.7295,162.364,0.0833,0.5075,0.4092,349.3655
"36",831526106,17.414565844886,64.9053360698678,519.928,160.1055,0.099975,0.509175,0.39035,359.8225
"37",831526306,17.4286887930218,64.9008866958672,523.6265,162.121,0.095575,0.5278,0.376725,361.5055
"38",831527306,17.3070878170009,65.031629766832,551.1625,177.906,0.0911,0.51485,0.393875,373.2565
